"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","997","Проверка раздела ""Вопросы о важном""","tests","Wed Jun 04 17:32:22 MSK 2025","passed","Wed Jun 04 17:32:23 MSK 2025","TestMainPageFaq","test_main_page","",""
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","318","Проверка раздела ""Вопросы о важном""","tests","Wed Jun 04 17:32:18 MSK 2025","passed","Wed Jun 04 17:32:18 MSK 2025","TestMainPageFaq","test_main_page","",""
"","9309","Проверка перехода на страницу ""Дзена"" при клике на лого ""Яндекс""","tests","Wed Jun 04 17:32:03 MSK 2025","passed","Wed Jun 04 17:32:13 MSK 2025","TestLogo","test_logo_click","",""
"Сквозное тестирование функциональности оформления заказа из двух точек входа","2630","Проверка позитивного сценария оформления заказа","tests","Wed Jun 04 17:33:00 MSK 2025","passed","Wed Jun 04 17:33:03 MSK 2025","TestOrderPageOrder","test_order_page","",""
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","378","Проверка раздела ""Вопросы о важном""","tests","Wed Jun 04 17:32:50 MSK 2025","passed","Wed Jun 04 17:32:51 MSK 2025","TestMainPageFaq","test_main_page","",""
"Сквозное тестирование функциональности оформления заказа из двух точек входа","2209","Проверка позитивного сценария оформления заказа","tests","Wed Jun 04 17:33:08 MSK 2025","passed","Wed Jun 04 17:33:10 MSK 2025","TestOrderPageOrder","test_order_page","",""
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","935","Проверка раздела ""Вопросы о важном""","tests","Wed Jun 04 17:32:55 MSK 2025","passed","Wed Jun 04 17:32:56 MSK 2025","TestMainPageFaq","test_main_page","",""
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","368","Проверка раздела ""Вопросы о важном""","tests","Wed Jun 04 17:32:45 MSK 2025","passed","Wed Jun 04 17:32:45 MSK 2025","TestMainPageFaq","test_main_page","",""
"","400","Проверка перехода на главную страницу сервиса при клике на лого ""Самокат"" в шапке","tests","Wed Jun 04 17:31:57 MSK 2025","passed","Wed Jun 04 17:31:57 MSK 2025","TestLogo","test_logo_click","",""
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","1149","Проверка раздела ""Вопросы о важном""","tests","Wed Jun 04 17:32:34 MSK 2025","passed","Wed Jun 04 17:32:35 MSK 2025","TestMainPageFaq","test_main_page","",""
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","639","Проверка раздела ""Вопросы о важном""","tests","Wed Jun 04 17:32:39 MSK 2025","passed","Wed Jun 04 17:32:40 MSK 2025","TestMainPageFaq","test_main_page","",""
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","327","Проверка раздела ""Вопросы о важном""","tests","Wed Jun 04 17:32:29 MSK 2025","passed","Wed Jun 04 17:32:29 MSK 2025","TestMainPageFaq","test_main_page","",""
